"filename", "language", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"c:\projects\cylinderManagement\src\app\app-routing.module.ts", "TypeScript", 0, 25, 0, 0, 3, 28
"c:\projects\cylinderManagement\src\app\app.component.html", "HTML", 0, 0, 12, 0, 1, 13
"c:\projects\cylinderManagement\src\app\app.component.scss", "SCSS", 6, 0, 0, 0, 1, 7
"c:\projects\cylinderManagement\src\app\app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 5, 36
"c:\projects\cylinderManagement\src\app\app.component.ts", "TypeScript", 0, 13, 0, 0, 3, 16
"c:\projects\cylinderManagement\src\app\app.module.ts", "TypeScript", 0, 33, 0, 0, 3, 36
"c:\projects\cylinderManagement\src\app\auth\auth-api.service.ts", "TypeScript", 0, 95, 0, 0, 13, 108
"c:\projects\cylinderManagement\src\app\auth\auth-store.service.ts", "TypeScript", 0, 37, 0, 0, 7, 44
"c:\projects\cylinderManagement\src\app\auth\auth.guard.ts", "TypeScript", 0, 18, 0, 0, 5, 23
"c:\projects\cylinderManagement\src\app\auth\auth.interceptor.ts", "TypeScript", 0, 22, 0, 0, 4, 26
"c:\projects\cylinderManagement\src\app\auth\user.model.ts", "TypeScript", 0, 18, 0, 0, 3, 21
"c:\projects\cylinderManagement\src\app\components\nav\dropdown.directive.ts", "TypeScript", 0, 17, 0, 0, 6, 23
"c:\projects\cylinderManagement\src\app\components\nav\nav.component.html", "HTML", 0, 0, 92, 18, 3, 113
"c:\projects\cylinderManagement\src\app\components\nav\nav.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\components\nav\nav.component.ts", "TypeScript", 0, 46, 0, 0, 10, 56
"c:\projects\cylinderManagement\src\app\modules\admin\admin-routing.module.ts", "TypeScript", 0, 13, 0, 0, 3, 16
"c:\projects\cylinderManagement\src\app\modules\admin\admin.module.ts", "TypeScript", 0, 16, 0, 0, 4, 20
"c:\projects\cylinderManagement\src\app\modules\admin\pages\create-user-form\create-user-form.component.html", "HTML", 0, 0, 77, 0, 2, 79
"c:\projects\cylinderManagement\src\app\modules\admin\pages\create-user-form\create-user-form.component.scss", "SCSS", 3, 0, 0, 0, 0, 3
"c:\projects\cylinderManagement\src\app\modules\admin\pages\create-user-form\create-user-form.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\modules\admin\pages\create-user-form\create-user-form.component.ts", "TypeScript", 0, 115, 0, 0, 17, 132
"c:\projects\cylinderManagement\src\app\modules\admin\pages\cylinder\components\form\form.component.html", "HTML", 0, 0, 36, 0, 1, 37
"c:\projects\cylinderManagement\src\app\modules\admin\pages\cylinder\components\form\form.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\modules\admin\pages\cylinder\components\form\form.component.ts", "TypeScript", 0, 58, 0, 0, 10, 68
"c:\projects\cylinderManagement\src\app\modules\admin\pages\cylinder\components\list\list.component.html", "HTML", 0, 0, 5, 0, 0, 5
"c:\projects\cylinderManagement\src\app\modules\admin\pages\cylinder\components\list\list.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\modules\admin\pages\cylinder\components\list\list.component.ts", "TypeScript", 0, 18, 0, 0, 7, 25
"c:\projects\cylinderManagement\src\app\modules\admin\pages\cylinder\cylinder-routing.module.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"c:\projects\cylinderManagement\src\app\modules\admin\pages\cylinder\cylinder.component.html", "HTML", 0, 0, 8, 0, 0, 8
"c:\projects\cylinderManagement\src\app\modules\admin\pages\cylinder\cylinder.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\modules\admin\pages\cylinder\cylinder.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\modules\admin\pages\cylinder\cylinder.component.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"c:\projects\cylinderManagement\src\app\modules\admin\pages\cylinder\cylinder.module.ts", "TypeScript", 0, 20, 0, 0, 4, 24
"c:\projects\cylinderManagement\src\app\modules\admin\pages\ward\components\create-ward-form\create-ward-form.component.html", "HTML", 0, 0, 36, 0, 1, 37
"c:\projects\cylinderManagement\src\app\modules\admin\pages\ward\components\create-ward-form\create-ward-form.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\modules\admin\pages\ward\components\create-ward-form\create-ward-form.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
